Concept Class;Google Knowledge Panel;User Survey;Agreement %
TennisPlayer;;;20.00%
;Born;Titles won;
;Height;Nationality;
;Weight;Birth date;
;Turned Pro;Preferred Hand used to play;
;Siblings;Career price money;
Museum;;;66.67%
;Address;opening hours;
;Hours;website;
;Phone;Address;
;Opened;Master pieces;
;Founder(s);Closing hours;
;Artwork;geolocation;
Politician;;;50.00%
;Born;political party;
;Died;nationality;
;Education;office;
;Party;birth place;
Company;;;40.00%
;Founded;list of products;
;Founder(s);CEO;
;CEO;logo;
;Headquarters;location country;
;stock price;number of employees;
;;;
Country;;;60.00%
;Founded;official language;
;Government;population;
;capital;capital;
;continent;currency;
;currencies;type of government;
;;;
City;;;60.00%
;local time;population;
;area;points of interest;
;population;weather;
;weather;local time;
;university;geolocation;
Film;;;60.00%
;Director;release date;
;Running time;film duration;
;Initial release;Director;
;screenplay;awards;
;release date;characters;
;;;
SoccerClub;;;50.00%
;Founded;league;
;Arena/stadium;location;
;Manager;titles;
;location;official club name;
;Training ground;website;
;leagues;stadium;
;;;
BOOK;;;60.00%
;Published;author;
;Author(s);literary genre(s);
;genre(s);original language;
;Followed by;publication date;
;Preceded by;language;
;;;

